,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zg6azyjniovtgb7vdssz",CLE,2023,16,REG,28,44,374.0,2,3.0,4.0,31.0,1,0,382.0,158.0,12.0,-17.392164,0,0.9790576,0.014412046,1,-1.0,0,0.0,0.0,0.0,-0.49393496,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.86,16.86,CHI,Sunday,0,CLE2023,J.Flacco2023,CHI2023,23.0,1.0,193.0,1.5,1.0,0.17,0.17,0.17,2.83,6.0,48.33,0.33,77.67,0.5,0.17,0.17,-1.52,-0.7,1.52,9.68,9.9,0.71,86.97,2.12,0.71,0.41,0.41,0.41,1.17,1.79,32.65,0.52,29.72,0.71,0.41,0.41,12.31,0.87,4.14,6.89,HOU,25.67,44.33,313.0,2.33,1.67,1.67,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,-8.95,-0.35,,17.79,16.17,29.17,188.17,1.33,0.83,2.0,3.83,0.17,0.17,0.17,-1.33,0.0,-1.5,0.33,0.17,0.0,-7.65,-0.16,-1.11,10.91,0,CLEVELAND BROWNS,6650.0,2023_16_CLE_HOU,REG,2023-12-24 00:00:00+00:00,,13:00,CLE,,HOU,,Home,,,,2023122402.0,,,202312240htx,,401547612.0,,14.0,7.0,,,,,,,,,0.0,,astroturf,,,,,,,Kevin Stefanski,DeMeco Ryans,,HOU00,NRG Stadium,Sunday,18.706294111793287,16.385854874919794,17.579295225692093,18.585655618122065,17.8,12.6,23.0
1,1,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,16,REG,25,33,258.0,2,0.0,3.0,9.0,0,0,172.0,141.0,10.0,7.8747363,0,1.5,0.1692855,1,2.0,0,0.0,0.0,0.0,-0.40503353,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.52,18.52,WAS,Sunday,1,LA2023,M.Stafford2023,WAS2023,23.0,1.0,193.0,1.5,1.0,0.33,4.33,0.17,4.25,6.0,52.0,0.17,79.0,0.5,0.17,0.17,-1.52,0.97,2.27,9.45,9.9,0.71,86.97,2.12,0.71,0.58,7.51,0.41,1.5,1.15,22.91,0.41,34.5,0.71,0.41,0.41,12.31,0.87,1.59,3.31,NO,23.75,36.0,265.0,3.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,-0.23,-1.52,22.12,20.83,33.83,230.0,2.17,0.5,1.5,3.5,0.17,0.0,0.17,0.0,0.0,0.83,0.17,0.17,0.0,2.3,-0.03,-1.52,17.22,0,LOS ANGELES RAMS,6645.0,2023_16_NO_LA,REG,2023-12-21 00:00:00+00:00,Thursday,20:15,NO,,LA,,Home,,,,2023122100.0,,,202312210ram,,401547609.0,,4.0,4.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Dennis Allen,Sean McVay,,LAX01,SoFi Stadium,,24.247207575866387,18.281357479252456,19.3084116010971,23.95912047822453,21.4,16.2,26.6
2,2,00-0027696,J.Graham,Jimmy Graham,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",NO,2023,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,9.0,1,0.0,0.0,6.0,3.0,2.0,1.9056079,0,1.5,0.071428575,0.03141361,0.12913239,0.0,6.9,8.9,NYG,Sunday,0,NO2023,J.Graham2023,NYG2023,23.0,1.0,193.0,1.5,1.0,0.33,4.33,0.17,2.83,4.83,36.83,0.17,63.33,0.5,0.17,0.17,-1.52,0.97,0.64,7.52,9.9,0.71,86.97,2.12,0.71,0.58,7.51,0.41,1.17,1.72,19.63,0.41,49.36,0.71,0.41,0.41,12.31,0.87,2.16,3.93,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.5,7.75,0.75,8.5,0.0,0.0,0.0,,,1.36,6.52,0.33,0.33,4.0,0.17,0.0,0.83,4.0,0.17,1.67,2.33,11.83,0.33,9.67,0.0,0.0,0.17,0.24,0.89,-0.59,4.85,0,NEW ORLEANS SAINTS,6645.0,2023_16_NO_LA,REG,2023-12-21 00:00:00+00:00,,20:15,NO,,LA,,Home,,,,2023122100.0,,,202312210ram,,401547609.0,,4.0,4.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Dennis Allen,Sean McVay,,LAX01,SoFi Stadium,Thursday,5.05783226052994,7.740775472745642,10.009437879893074,6.5008701121424535,7.3,2.1,12.5
3,3,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",PHI,2023,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,6.0,0,0.0,0.0,6.0,0.0,1.0,2.262604,0,1.0,0.033333335,0.020338982,0.06423729,0.0,0.6,1.6,SEA,Monday,1,PHI2023,J.Jones2023,SEA2023,23.0,1.0,193.0,1.5,1.0,0.25,3.25,0.17,4.0,7.5,53.5,0.5,106.5,0.5,0.17,0.17,-1.52,0.97,3.36,12.67,9.9,0.71,86.97,2.12,0.71,0.5,6.5,0.41,0.82,1.29,19.57,1.0,33.67,0.71,0.41,0.41,12.31,0.87,1.92,6.16,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,4.75,0.25,5.0,0.0,0.0,0.0,,,0.42,3.23,0.17,0.17,0.33,0.0,0.0,0.33,0.67,0.17,4.67,6.67,54.17,0.17,76.33,0.0,0.0,0.33,-0.55,-0.96,1.15,10.42,0,PHILADELPHIA EAGLES,6659.0,2023_16_NYG_PHI,REG,2023-12-25 00:00:00+00:00,Monday,16:30,NYG,,PHI,,Home,,,,2023122501.0,,,202312250phi,,401547241.0,,8.0,8.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Brian Daboll,Nick Sirianni,,PHI00,Lincoln Financial Field,,3.196813849578908,7.196090444955794,2.3652168095785853,3.1439072457629416,4.0,0.0,9.2
4,4,00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",NYJ,2023,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,3,0.0,0,0.0,0.0,74.0,0.0,0.0,-7.9820786,0,0.0,0.09090909,0.25429553,0.3143705,0.0,0.0,0.0,MIA,Sunday,1,NYJ2023,R.Cobb2023,MIA2023,23.0,1.0,193.0,1.5,1.0,1.0,9.0,0.17,4.0,6.17,46.5,0.33,53.17,0.5,0.17,0.5,-1.52,0.98,3.36,10.65,9.9,0.71,86.97,2.12,0.71,0.5,7.78,0.41,2.19,2.93,32.44,0.52,48.15,0.71,0.41,0.71,12.31,1.37,3.63,7.53,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,3.75,0.25,27.25,0.0,0.0,0.0,,,-2.07,2.62,0.17,0.17,0.33,0.17,0.0,0.5,2.17,0.17,3.17,5.33,42.17,0.17,69.83,0.0,0.0,0.17,-0.43,1.11,-0.01,9.6,0,NEW YORK JETS,6652.0,2023_16_WAS_NYJ,REG,2023-12-24 00:00:00+00:00,Sunday,13:00,WAS,,NYJ,,Home,,,,2023122404.0,,,202312240nyj,,401547613.0,,7.0,7.0,,,,,,,,,0.0,outdoors,fieldturf,,,,,,,Ron Rivera,Robert Saleh,,NYC01,MetLife Stadium,,2.5034488285196432,7.114051118855816,2.2970918465752077,2.589531987343705,3.6,0.0,8.8
5,5,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",NYG,2023,16,REG,2,4,13.0,0,0.0,0.0,-0.0,0,0,10.0,6.0,1.0,0.40001196,0,1.3,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.52,0.52,NO,Sunday,0,NYG2023,T.Taylor2023,NO2023,23.0,1.0,193.0,1.5,1.0,1.0,9.0,0.17,5.17,8.67,62.17,0.17,101.67,0.5,0.17,0.17,-1.52,0.98,0.63,12.38,9.9,0.71,86.97,2.12,0.71,0.5,7.78,0.41,1.47,3.44,23.28,0.41,48.54,0.71,0.41,0.41,12.31,1.37,5.0,3.07,PHI,12.0,19.0,125.0,0.5,0.0,4.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.79,-0.08,,9.05,13.83,20.5,144.83,1.33,0.5,4.5,23.67,0.17,0.17,0.17,2.67,0.0,2.17,0.17,0.17,0.0,-3.2,-1.03,0.98,12.16,0,NEY YORK GIANTS,6659.0,2023_16_NYG_PHI,REG,2023-12-25 00:00:00+00:00,,16:30,NYG,,PHI,,Home,,,,2023122501.0,,,202312250phi,,401547241.0,,8.0,8.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Brian Daboll,Nick Sirianni,,PHI00,Lincoln Financial Field,Monday,9.206893805712571,10.447896873936692,10.464050003413863,9.542077721352596,9.9,4.7,15.1
6,6,00-0028986,C.Keenum,Case Keenum,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tymwoe3wpwzln78uzbvu",HOU,2023,16,REG,23,36,229.0,1,1.0,3.0,27.0,0,0,276.0,103.0,12.0,-2.5340545,0,0.8297101,0.046399433,2,1.0,0,1.0,0.0,0.0,-1.6509334,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.26,11.26,TEN,Sunday,1,HOU2023,C.Keenum2023,TEN2023,23.0,1.0,193.0,1.5,1.0,1.0,9.0,0.17,5.67,9.0,84.0,0.33,123.5,0.5,0.17,0.2,-1.52,0.98,4.19,16.07,9.9,0.71,86.97,2.12,0.71,0.5,7.78,0.41,2.42,4.65,43.05,0.52,61.32,0.71,0.41,0.45,12.31,1.37,3.5,8.86,CLE,23.0,36.0,229.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53,-1.65,,11.26,12.83,21.33,153.33,0.67,0.17,2.33,9.83,0.17,0.17,0.17,0.67,0.17,-0.17,0.17,0.17,0.0,-4.08,0.7,-0.87,10.45,0,HOUSTON TEXANS,6650.0,2023_16_CLE_HOU,REG,2023-12-24 00:00:00+00:00,Sunday,13:00,CLE,,HOU,,Home,,,,2023122402.0,,,202312240htx,,401547612.0,,14.0,7.0,,,,,,,,,0.0,,astroturf,,,,,,,Kevin Stefanski,DeMeco Ryans,,HOU00,NRG Stadium,,11.521792128422131,12.4056693286509,11.203084848490512,11.294276108717346,11.6,6.4,16.8
7,7,00-0029239,B.Bolden,Brandon Bolden,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",LV,2023,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,25.0,1,0.0,0.0,1.0,2.5749238,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.5,8.5,LAC,Thursday,0,LV2023,B.Bolden2023,LAC2023,23.0,1.0,193.0,1.5,1.0,1.0,9.0,0.17,5.33,7.67,92.67,0.33,112.67,0.5,0.17,0.2,-1.52,0.98,5.36,16.6,9.9,0.71,86.97,2.12,0.71,0.5,7.78,0.41,2.34,3.61,42.97,0.52,54.97,0.71,0.41,0.45,12.31,1.37,3.09,8.75,KC,0.0,0.0,0.0,0.0,0.0,2.75,14.25,0.25,0.25,0.25,1.0,0.0,1.0,0.0,0.0,0.0,,0.54,-0.13,3.28,0.0,0.0,0.0,0.0,0.0,6.5,31.5,0.33,1.33,1.67,6.33,0.17,-2.33,0.0,0.17,0.17,-1.08,-1.0,-0.44,7.12,0,LAS VEGAS RAIDERS,6658.0,2023_16_LV_KC,REG,2023-12-25 00:00:00+00:00,,13:00,LV,,KC,,Home,,,,2023122500.0,,,202312250kan,,401547351.0,,11.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Josh McDaniels,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,Monday,2.9133088067677133,7.198597194470269,2.431309167128482,3.1439072457629416,3.9,0.0,9.1
8,8,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,16,REG,18,32,223.0,1,0.0,2.0,19.0,1,1,232.0,137.0,12.0,-2.3929815,0,0.9612069,0.05153603,7,6.0,1,0.0,0.0,3.0,0.05946299,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.52,17.52,DET,Saturday,1,DEN2023,R.Wilson2023,DET2023,23.0,1.0,193.0,1.5,1.0,1.0,9.0,0.17,5.33,8.0,79.5,0.5,86.0,0.5,0.17,0.2,-1.52,0.98,3.3,16.28,9.9,0.71,86.97,2.12,0.71,0.5,7.78,0.41,1.37,1.55,29.68,0.55,14.98,0.71,0.41,0.45,12.31,1.37,4.53,5.21,NE,16.75,28.25,191.75,1.25,1.0,8.5,22.25,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,-3.78,-0.31,-0.38,16.4,19.67,29.5,203.17,1.33,0.67,7.5,20.0,0.5,0.17,0.17,0.17,0.0,-0.17,0.17,0.17,0.0,-1.31,-0.33,-0.38,16.46,0,DENVER BRONCOS,6657.0,2023_16_NE_DEN,REG,2023-12-24 00:00:00+00:00,Sunday,20:15,NE,,DEN,,Home,,,,2023122409.0,,,202312240den,,401547621.0,,6.0,14.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Bill Belichick,Sean Payton,,DEN00,Empower Field at Mile High,,18.049799688260272,13.871962054927687,17.894377906295723,17.112869662759753,16.7,11.5,21.9
9,9,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,26.0,0,0.0,0.0,6.0,20.0,1.0,3.1185443,0,4.3333335,0.07692308,0.019736841,0.1292004,0.0,2.6,4.6,ARI,Sunday,1,SF2023,K.Juszczyk2023,ARI2023,23.0,1.0,193.0,1.5,1.0,0.5,3.83,0.17,3.67,6.17,37.83,0.17,52.17,0.5,0.17,0.2,-1.52,0.47,-1.23,8.83,9.9,0.71,86.97,2.12,0.71,0.55,6.94,0.41,1.37,3.19,21.94,0.41,34.25,0.71,0.41,0.45,12.31,1.34,3.91,3.55,BAL,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.5,13.0,0.25,9.25,0.0,0.0,0.0,,-1.61,1.45,3.8,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.17,1.5,1.83,14.5,0.33,7.83,0.0,0.17,0.17,,-1.61,1.7,4.95,0,SAN FRANCISCO 49ERS,6660.0,2023_16_BAL_SF,REG,2023-12-25 00:00:00+00:00,Monday,20:15,BAL,,SF,,Home,,,,2023122502.0,,,202312250sfo,,401547622.0,,8.0,8.0,,,,,,,,,0.0,outdoors,grass,,,,,,,John Harbaugh,Kyle Shanahan,,SFO01,Levi's Stadium,,2.976312651559663,7.278776951196916,5.255829836891306,3.839805944491265,4.8,0.0,10.0
