,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,10,REG,12,19,114.0,3,0.0,6.0,27.0,2,1,127.0,72.0,7.0,-4.8447876,0,0.8976378,0.047368538,8,30.0,0,0.0,0.0,4.0,1.8528652,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.56,17.56,KC,Sunday,0,DEN2023,R.Wilson2023,KC2023,17.0,23.0,201.0,0.33,0.5,10.0,42.75,0.25,0.25,0.25,0.5,0.25,-1.0,1.0,0.25,1.0,1.2,0.61,-0.42,5.78,1.41,4.24,69.3,0.58,0.71,4.32,17.76,0.5,0.5,0.5,1.0,0.5,2.0,0.71,0.5,0.71,21.66,2.18,0.05,4.18,BUF,16.0,24.0,154.0,2.0,0.0,4.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.37,1.4,-0.38,15.71,16.25,25.25,149.75,1.75,0.5,5.0,32.75,0.5,0.25,0.25,0.25,0.0,-0.25,0.5,0.25,0.0,-7.36,2.33,-0.38,14.26,0,DENVER BRONCOS,6570.0,2023_10_DEN_BUF,REG,2023-11-13 00:00:00+00:00,,20:15,DEN,,BUF,,Home,,,,2023111300.0,,,202311130buf,,401547537.0,,15.0,8.0,,,,,,,,,0.0,outdoors,a_turf,,,,,,,Sean Payton,Sean McDermott,,BUF00,New Era Field,Monday,16.302779245636316,13.307716052394442,18.0535098100211,16.638323782105203,16.1,12.1,20.1
1,1,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,0.0,0,0.0,0.0,1.0,-1.6120241,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0,CIN,Sunday,0,SF2023,K.Juszczyk2023,CIN2023,17.0,23.0,201.0,0.33,0.5,0.25,2.25,0.25,0.5,1.0,29.0,0.25,48.75,1.0,0.25,1.0,1.2,0.86,1.87,5.12,1.41,4.24,69.3,0.58,0.71,0.5,4.5,0.5,0.58,0.82,33.65,0.5,39.31,0.71,0.5,0.71,21.66,0.17,3.06,6.08,JAX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,4.5,0.0,4.0,0.0,0.0,0.0,,-1.61,0.53,0.95,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.25,1.5,1.5,9.75,0.25,3.5,0.0,0.25,0.25,,-1.07,1.3,4.05,0,SAN FRANCISCO 49ERS,6561.0,2023_10_SF_JAX,REG,2023-11-12 00:00:00+00:00,,13:00,SF,,JAX,,Home,,,,2023111203.0,,,202311120jax,,401547532.0,,14.0,14.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Kyle Shanahan,Doug Pederson,,JAX00,TIAA Bank Stadium,Sunday,0.9428066620873824,6.678046970246876,0.5128182020298225,0.9837753157147814,2.3,0.0,6.3
2,2,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,6,29.0,0,0.0,0.0,29.0,10.0,1.0,0.421581,0,1.0,0.16216215,0.18709677,0.37421098,0.0,2.9,7.9,IND,Sunday,0,CAR2023,A.Thielen2023,IND2023,17.0,23.0,201.0,0.33,0.5,0.5,2.5,0.25,6.0,8.0,119.0,0.33,126.0,1.0,0.25,1.0,1.2,0.63,8.0,17.9,1.41,4.24,69.3,0.58,0.71,0.71,3.54,0.5,0.71,0.71,29.7,0.58,16.97,0.71,0.5,0.71,21.66,0.89,2.8,1.91,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.5,50.5,0.0,40.5,0.0,0.0,0.0,,0.24,0.23,11.55,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.25,3.0,4.0,30.75,0.25,38.5,0.0,0.25,0.25,-1.32,-0.41,0.79,6.08,0,CAROLINA PANTHERS,6557.0,2023_10_CAR_CHI,REG,2023-11-09 00:00:00+00:00,,20:15,CAR,,CHI,,Home,,,,2023110900.0,,,202311090chi,,401547525.0,,4.0,4.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Frank Reich,Matt Eberflus,,CHI98,Soldier Field,Thursday,11.4421459799652,8.610096659168557,11.71926596968648,11.612224185155911,10.8,6.8,14.8
3,3,00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq9ih2olutji2nufwbvj",CLE,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,76.0,0.0,0.0,-1.8254435,0,0.0,0.071428575,0.37810946,0.37181947,0.0,0.0,0.0,ARI,Sunday,0,CLE2023,M.Goodwin2023,ARI2023,17.0,23.0,201.0,0.33,0.5,2.25,10.25,0.25,1.5,1.5,18.0,0.25,7.75,1.0,0.25,1.0,1.2,0.34,2.08,5.82,1.41,4.24,69.3,0.58,0.71,2.63,12.01,0.5,1.0,1.0,20.82,0.5,12.82,0.71,0.5,0.71,21.66,0.67,2.46,6.65,BAL,0.0,0.0,0.0,0.0,0.0,0.5,-2.5,0.0,0.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,,-1.24,-1.83,-0.25,0.25,0.25,3.0,0.25,0.25,0.25,-1.25,0.25,2.0,4.5,29.75,0.25,71.75,0.25,0.0,0.25,-4.98,-1.24,0.98,4.85,0,CLEVELAND BROWNS,6559.0,2023_10_CLE_BAL,REG,2023-11-12 00:00:00+00:00,,13:00,CLE,,BAL,,Home,,,,2023111201.0,,,202311120rav,,401547531.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Kevin Stefanski,John Harbaugh,,BAL00,M&T Bank Stadium,Sunday,0.0487726674216912,6.516988696232605,0.5128182020298225,0.1155234884790798,1.8,0.0,5.8
4,4,00-0030279,K.Allen,Keenan Allen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xs7h2igf85nta81v7zb8",LAC,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,9,77.0,0,0.0,0.0,67.0,21.0,4.0,5.215961,0,1.1492537,0.32142857,0.4820144,0.81955296,0.0,7.7,15.7,NYJ,Monday,1,LAC2023,K.Allen2023,NYJ2023,17.0,23.0,201.0,0.33,0.5,2.0,12.0,0.25,0.67,1.0,10.0,0.25,17.33,1.0,0.25,1.0,1.2,-0.65,0.18,1.67,1.41,4.24,69.3,0.58,0.71,0.58,4.95,0.5,0.58,1.41,14.0,0.5,11.59,0.71,0.5,0.71,21.66,0.41,2.36,1.81,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.5,73.0,0.0,92.5,0.0,0.0,0.0,3.97,0.15,3.96,15.3,0.25,0.25,12.25,0.25,0.0,0.75,3.5,0.25,4.5,5.25,38.75,0.25,30.0,0.0,0.0,0.25,3.97,0.67,1.99,8.38,0,LOS ANGELES CHARGERS,6566.0,2023_10_DET_LAC,REG,2023-11-12 00:00:00+00:00,Sunday,16:05,DET,,LAC,,Home,,,,2023111208.0,,,202311120sdg,,401547530.0,,13.0,6.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Dan Campbell,Brandon Staley,,LAX01,SoFi Stadium,,14.823624264957049,9.475677476198475,11.71926596968648,14.666324299881804,12.7,8.7,16.7
6,6,00-0030513,L.Murray,Latavius Murray,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",BUF,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,4.0,0,0.0,0.0,2.0,1.1586701,0,1,1,6.0,0,0.0,0.0,2.0,4.0,0.0,0.4138998,0,3.0,0.03125,0.008695652,0.052961957,0.0,1.0,2.0,CIN,Sunday,1,BUF2023,L.Murray2023,CIN2023,17.0,23.0,201.0,0.33,0.5,0.25,4.25,0.25,3.5,4.25,31.0,0.25,24.25,1.0,0.25,1.0,1.2,1.97,0.63,8.53,1.41,4.24,69.3,0.58,0.71,0.5,8.5,0.5,2.38,2.99,14.45,0.5,12.61,0.71,0.5,0.71,21.66,3.15,1.97,6.38,DEN,0.0,0.0,0.0,0.0,0.0,3.5,5.5,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,,-0.41,0.19,2.05,0.0,0.25,0.0,0.0,0.0,8.5,33.5,0.25,1.5,1.5,15.5,0.25,4.25,0.0,0.25,0.25,-0.15,-0.32,1.79,7.9,0,BUFFALO BILLS,6570.0,2023_10_DEN_BUF,REG,2023-11-13 00:00:00+00:00,Monday,20:15,DEN,,BUF,,Home,,,,2023111300.0,,,202311130buf,,401547537.0,,15.0,8.0,,,,,,,,,0.0,outdoors,a_turf,,,,,,,Sean Payton,Sean McDermott,,BUF00,New Era Field,,2.0094096312783294,6.858997487836609,2.025984879427337,2.0031236212802,3.2,0.0,7.2
7,7,00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikfprn4t5ap1lju4a4k",TEN,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,5.0,0,0.0,0.0,0.0,0.017510708,0,4,11,60.0,0,0.0,0.0,150.0,31.0,4.0,-0.3545215,0,0.4,0.2972973,0.38071066,0.7124434,0.0,6.5,10.5,PIT,Thursday,0,TEN2023,D.Hopkins2023,PIT2023,17.0,23.0,201.0,0.33,0.5,0.5,5.5,0.33,0.5,2.0,5.0,0.25,18.0,1.0,0.25,1.0,1.2,0.72,-1.73,1.55,1.41,4.24,69.3,0.58,0.71,0.71,7.78,0.58,0.71,0.71,7.07,0.5,11.31,0.71,0.5,0.71,21.66,3.15,2.03,2.19,TB,0.0,0.0,0.0,0.0,0.0,0.5,2.5,0.0,4.0,8.5,94.0,1.5,142.0,0.0,0.0,0.0,,0.02,4.87,22.65,0.25,0.25,5.25,0.0,0.0,0.25,1.25,0.25,2.0,4.5,29.25,0.25,77.75,0.0,0.0,0.25,-0.74,0.02,-0.01,6.55,0,TENNESSEE TITANS,6564.0,2023_10_TEN_TB,REG,2023-11-12 00:00:00+00:00,,13:00,TEN,,TB,,Home,,,,2023111206.0,,,202311120tam,,401547528.0,,10.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Mike Vrabel,Todd Bowles,,TAM00,Raymond James Stadium,Sunday,19.76506130519683,11.250422496522551,21.966205272138424,22.5526088685928,18.9,14.9,22.9
8,8,00-0030565,G.Smith,Geno Smith,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxp32udtvwnpu3rl2cht",SEA,2023,10,REG,13,28,157.0,0,1.0,4.0,34.0,1,1,219.0,57.0,5.0,-14.661982,0,0.716895,-0.037515346,2,4.0,0,0.0,0.0,0.0,0.03030252,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.68,2.68,BAL,Sunday,1,SEA2023,G.Smith2023,BAL2023,17.0,23.0,201.0,0.33,0.5,5.67,16.0,0.33,1.33,1.33,16.0,0.25,2.67,1.0,0.25,0.33,1.2,-0.69,-1.46,5.87,1.41,4.24,69.3,0.58,0.71,5.03,12.12,0.58,1.53,1.53,20.42,0.5,5.51,0.71,0.5,0.58,21.66,3.62,4.84,8.16,WAS,18.0,32.5,205.5,1.0,1.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-6.02,-1.95,-1.44,8.27,20.25,32.5,239.0,1.0,1.5,3.5,7.75,0.25,0.25,0.25,-0.5,0.25,-2.0,0.25,0.25,0.0,-2.09,-2.0,-1.44,10.33,0,SEATTLE SEAHAWKS,6568.0,2023_10_WAS_SEA,REG,2023-11-12 00:00:00+00:00,Sunday,16:25,WAS,,SEA,,Home,,,,2023111210.0,,,202311120sea,,401547535.0,,7.0,7.0,,,,,,,,,0.0,outdoors,fieldturf,,,,,,,Ron Rivera,Pete Carroll,,SEA00,Lumen Field,,8.414369153862548,11.631771629603838,8.849465899097355,9.531329339012904,9.6,5.6,13.6
9,9,00-0030578,C.Patterson,Cordarrelle Patterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gy2bb38cns4nxypehbqi",ATL,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,0.0,0,0.0,0.0,0.0,-0.5476736,0,1,1,3.0,0,0.0,0.0,-3.0,6.0,0.0,-0.36622572,0,-1.0,0.029411765,-0.009677419,0.037343454,0.0,0.3,1.3,MIN,Sunday,0,ATL2023,C.Patterson2023,MIN2023,17.0,23.0,201.0,0.33,0.5,12.75,69.25,0.5,1.75,2.25,16.0,0.25,-0.75,1.0,0.25,0.25,1.2,1.23,0.32,13.27,1.41,4.24,69.3,0.58,0.71,4.99,22.65,1.0,1.71,1.89,19.53,0.5,7.93,0.71,0.5,0.5,21.66,2.03,2.17,9.97,ARI,0.0,0.0,0.0,0.0,0.0,1.5,3.5,0.0,0.5,0.5,1.5,0.0,-1.5,0.0,0.0,0.0,-0.6,-0.61,-0.37,1.0,0.25,0.25,0.75,0.0,0.0,5.5,25.0,0.25,0.25,1.5,0.75,0.25,1.5,0.0,0.25,0.5,-0.6,0.07,-2.37,4.32,0,ATLANTA FALCONS,6565.0,2023_10_ATL_ARI,REG,2023-11-12 00:00:00+00:00,,16:05,ATL,,ARI,,Home,,,,2023111207.0,,,202311120crd,,401547529.0,,7.0,7.0,,,,,,,,,0.0,,grass,,,,,,,Arthur Smith,Jonathan Gannon,,PHO00,State Farm Stadium,Sunday,0.9938024678005986,6.693859445392342,0.5535436526353061,0.9837753157147814,2.3,0.0,6.3
10,10,00-0031235,O.Beckham,Odell Beckham,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etl34lkiscs2lpc4to2f",BAL,2023,10,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,7,56.0,1,1.0,1.0,59.0,14.0,4.0,1.9207608,0,0.9491525,0.21875,0.22014925,0.48222947,0.0,9.6,14.6,SEA,Sunday,1,BAL2023,O.Beckham2023,SEA2023,17.0,23.0,201.0,0.33,0.5,17.75,86.75,0.75,5.25,5.5,40.0,0.25,-0.5,1.0,0.25,0.25,1.2,0.07,1.07,22.42,1.41,4.24,69.3,0.58,0.71,5.85,52.14,0.96,2.75,2.65,29.92,0.5,7.0,0.71,0.5,0.5,21.66,2.21,2.05,2.51,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.5,28.0,0.5,53.0,0.0,0.0,0.5,,,-1.43,7.3,0.0,0.25,0.0,0.0,0.25,0.25,4.5,0.25,3.0,4.25,27.25,0.25,32.5,0.0,0.0,0.25,-4.04,2.52,-0.29,7.18,0,BALTIMORE RAVENS,6559.0,2023_10_CLE_BAL,REG,2023-11-12 00:00:00+00:00,Sunday,13:00,CLE,,BAL,,Home,,,,2023111201.0,,,202311120rav,,401547531.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Kevin Stefanski,John Harbaugh,,BAL00,M&T Bank Stadium,,7.135887065901636,7.777348609647793,10.724020795294548,7.342586792546008,8.2,4.2,12.2
