,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0026158,J.Flacco,Joe Flacco,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zg6azyjniovtgb7vdssz",CLE,2023,18,REG,19,29,309.0,3,1.0,1.0,8.0,1,0,179.0,184.0,9.0,6.197574,0,1.726257,0.15289517,2,3.0,0,1.0,0.0,1.0,-0.5749327,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.66,22.66,NYJ,Sunday,0,CLE2023,J.Flacco2023,CIN2023,0.17,0.17,5.33,0.17,0.17,0.83,4.5,0.17,6.17,8.17,82.33,0.33,66.83,1.0,0.17,0.17,-0.5,0.68,3.73,16.85,0.41,0.41,13.06,0.41,0.41,0.98,5.28,0.41,3.37,3.87,40.31,0.52,30.5,1.41,0.41,0.41,2.01,0.68,5.03,5.93,CIN,26.0,45.75,293.25,1.75,1.5,1.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-10.85,0.35,,14.5,19.88,28.25,250.62,1.5,0.5,4.0,12.0,0.12,0.12,0.12,-0.12,0.0,0.62,0.12,0.12,0.0,7.15,0.19,-1.52,17.23,0,CLEVELAND BROWNS,6680.0,2023_18_CLE_CIN,REG,2024-01-07 00:00:00+00:00,,13:00,CLE,,CIN,,Home,,,,2022121703.0,,,202212170cin,,401547641.0,,6.0,6.0,,,,,,,,,1.0,outdoors,fieldturf,,,,,,,Kevin Stefanski,Zac Taylor,,CIN00,Paycor Stadium,Sunday,14.269867920587394,15.01086478862612,15.324391390846722,15.1758636210099,14.9,10.1,19.7
1,1,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,18,REG,24,34,317.0,1,2.0,4.0,31.0,0,0,198.0,235.0,14.0,0.89999664,0,1.6010101,0.07146113,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.58,12.58,NYG,Sunday,0,LA2023,M.Stafford2023,SF2023,0.17,0.17,5.33,0.17,0.17,18.33,80.0,0.33,3.67,5.33,34.0,0.17,2.0,1.0,0.17,0.17,-0.5,-2.32,0.8,17.07,0.41,0.41,13.06,0.41,0.41,7.64,51.88,0.58,3.21,3.06,35.04,0.41,8.54,1.41,0.41,0.41,2.01,2.28,4.75,3.59,SF,28.0,42.5,266.25,0.75,1.25,2.25,5.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-4.15,0.08,,12.67,17.62,26.75,192.88,0.88,0.88,3.88,18.12,0.12,0.12,0.12,-0.5,0.0,-0.5,0.12,0.12,0.0,-0.41,0.03,-1.24,12.03,0,LOS ANGELES RAMS,6690.0,2023_18_LA_SF,REG,2024-01-07 00:00:00+00:00,,13:00,LA,,SF,,Home,,,,2022121713.0,,,202212170sfo,,401547651.0,,9.0,2.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Sean McVay,Kyle Shanahan,,SFO01,Levi's Stadium,Sunday,12.377658043047957,13.60962131898353,11.459159933013495,12.48071256200679,12.5,7.7,17.3
2,2,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",PHI,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,34.0,2,0.0,0.0,28.0,6.0,2.0,5.8869157,0,1.2142857,0.08695652,0.12444445,0.2175459,0.0,15.4,17.4,ARI,Sunday,0,PHI2023,J.Jones2023,NYG2023,0.17,0.17,5.33,0.17,0.17,12.17,56.5,0.17,1.5,2.0,10.83,0.17,1.0,1.0,0.33,0.17,-0.5,-1.37,0.22,9.57,0.41,0.41,13.06,0.41,0.41,3.97,32.24,0.41,1.05,1.1,12.35,0.41,5.73,1.41,0.52,0.41,2.01,3.22,2.01,4.64,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,47.67,0.67,59.33,0.0,0.0,0.33,,,1.15,12.1,0.12,0.12,-0.25,0.12,0.0,0.5,4.75,0.12,2.38,3.75,34.38,0.38,34.62,0.0,0.0,0.12,-2.38,2.92,2.7,8.06,0,PHILADELPHIA EAGLES,6689.0,2023_18_PHI_NYG,REG,2024-01-07 00:00:00+00:00,,13:00,PHI,,NYG,,Home,,,,2022121712.0,,,202212170nyg,,401547650.0,,6.0,6.0,,,,,,,,,1.0,outdoors,fieldturf,,,,,,,Nick Sirianni,Brian Daboll,,NYC01,MetLife Stadium,Sunday,11.982614215994346,8.604410623347409,11.290731973021089,11.76741064965828,10.9,6.1,15.7
3,3,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",NYG,2023,18,REG,27,41,319.0,1,1.0,6.0,35.0,0,0,332.0,147.0,8.0,-2.0617292,0,0.9608434,0.032428782,6,40.0,0,1.0,0.0,2.0,-2.1082673,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.76,18.76,LA,Sunday,1,NYG2023,T.Taylor2023,PHI2023,0.17,0.17,5.33,0.17,0.17,4.5,16.83,0.17,0.33,1.0,3.5,0.17,1.5,1.0,0.33,0.17,-0.5,-0.28,-0.23,3.37,0.41,0.41,13.06,0.41,0.41,3.21,14.16,0.41,0.52,0.89,5.86,0.41,9.07,1.41,0.58,0.41,2.01,1.03,0.88,3.22,PHI,13.0,20.67,166.33,1.0,0.67,3.33,33.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,-1.73,1.65,,12.69,17.12,27.88,204.88,1.38,0.38,3.12,20.5,0.25,0.12,0.12,1.88,0.12,5.38,0.12,0.12,0.0,3.57,2.22,-0.52,16.24,0,NEY YORK GIANTS,6689.0,2023_18_PHI_NYG,REG,2024-01-07 00:00:00+00:00,Sunday,13:00,PHI,,NYG,,Home,,,,2022121712.0,,,202212170nyg,,401547650.0,,6.0,6.0,,,,,,,,,1.0,outdoors,fieldturf,,,,,,,Nick Sirianni,Brian Daboll,,NYC01,MetLife Stadium,,12.742514153950328,12.128840450645724,18.11954106750027,12.738269574547674,13.9,9.1,18.7
4,4,00-0029239,B.Bolden,Brandon Bolden,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",LV,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,6.0,0,0.0,0.0,1.0,1.1041044,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.6,0.6,IND,Sunday,1,LV2023,B.Bolden2023,DEN2023,0.17,0.17,5.33,0.17,0.17,4.33,14.5,0.17,0.5,0.67,2.0,0.17,-3.33,1.0,0.33,0.17,-0.5,-0.8,-0.13,3.15,0.41,0.41,13.06,0.41,0.41,5.28,20.07,0.41,0.55,0.52,3.52,0.41,3.2,1.41,0.58,0.41,2.01,0.54,0.81,4.78,DEN,0.0,0.0,0.0,0.0,0.0,1.0,1.75,0.0,0.5,0.5,0.75,0.0,0.25,0.0,0.0,0.0,,-0.02,-0.72,0.75,0.0,0.12,0.0,0.0,0.0,8.5,39.38,0.25,2.25,2.88,10.88,0.25,1.25,0.0,0.12,0.12,-0.45,-0.64,-0.31,10.27,0,LAS VEGAS RAIDERS,6685.0,2023_18_DEN_LV,REG,2024-01-07 00:00:00+00:00,Sunday,13:00,DEN,,LV,,Home,,,,2022121708.0,,,202212170rai,,401547646.0,,6.0,9.0,,,,,,,,,1.0,dome,grass,,,,,,,Sean Payton,Josh McDaniels,,VEG00,Allegiant Stadium,,1.1931302219392357,6.974090999999525,2.0151753515382147,0.8756840133762664,2.8,0.0,7.6
5,5,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,18,REG,16,20,168.0,0,0.0,5.0,40.0,0,0,74.0,105.0,6.0,-2.435569,0,2.2702703,0.095661946,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,6.72,6.72,HOU,Sunday,1,TEN2023,R.Tannehill2023,JAX2023,2.0,3.0,39.0,0.17,0.17,0.17,60.0,1.0,2.5,4.17,47.83,0.17,64.5,1.0,0.33,0.17,-2.5,-1.83,1.58,8.28,13.44,26.16,99.7,0.41,0.41,0.41,2.83,0.71,1.05,1.47,33.03,0.41,34.82,1.41,0.58,0.41,15.96,3.71,4.67,4.83,JAX,18.75,27.75,202.5,0.75,0.25,2.25,16.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.06,4.51,,13.75,19.12,26.75,218.62,1.38,0.25,4.25,22.12,0.25,0.12,0.12,-0.88,0.0,-0.88,0.12,0.12,0.0,4.07,0.64,-2.1,17.0,0,TENNESSEE TITANS,6691.0,2023_18_JAX_TEN,REG,2024-01-07 00:00:00+00:00,Sunday,13:00,JAX,,TEN,,Home,,,,2022121714.0,,,202212170oti,,401547652.0,,6.0,6.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Doug Pederson,Mike Vrabel,,NAS00,Nissan Stadium,,13.558855749056708,12.955324932860515,14.012961086912458,13.608069635314775,13.5,8.7,18.3
6,6,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,23.0,0,0.0,0.0,13.0,10.0,3.0,2.2595193,0,1.7692307,0.11111111,0.07065217,0.2161232,0.0,2.3,5.3,WAS,Sunday,1,SF2023,K.Juszczyk2023,LA2023,2.0,3.0,39.0,0.17,0.17,12.0,60.0,1.0,2.17,3.33,22.83,0.17,34.17,1.0,0.33,0.17,-2.5,2.31,0.86,5.45,13.44,26.16,99.7,0.41,0.41,7.78,2.83,0.71,1.47,1.63,22.47,0.41,26.24,1.41,0.58,0.41,15.96,3.71,1.45,4.1,LA,0.0,0.0,0.0,0.0,0.0,0.5,2.25,0.0,1.25,1.25,16.0,0.0,5.5,0.0,0.0,0.0,,-0.64,1.51,3.08,0.0,0.0,0.0,0.0,0.0,0.5,2.12,0.0,1.38,1.5,13.75,0.0,10.12,0.0,0.12,0.0,,0.2,0.78,2.96,0,SAN FRANCISCO 49ERS,6690.0,2023_18_LA_SF,REG,2024-01-07 00:00:00+00:00,Sunday,13:00,LA,,SF,,Home,,,,2022121713.0,,,202212170sfo,,401547651.0,,9.0,2.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Sean McVay,Kyle Shanahan,,SFO01,Levi's Stadium,,3.370346518849737,7.277762919448794,3.689047846257908,2.926255789953163,4.3,0.0,9.1
7,7,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,6,38.0,0,0.0,0.0,19.0,19.0,1.0,3.935073,0,2.0,0.19354838,0.07692308,0.34416872,0.0,3.8,9.8,JAX,Sunday,1,CAR2023,A.Thielen2023,TB2023,2.0,3.0,39.0,0.17,0.17,7.67,23.83,0.17,2.17,2.17,8.67,0.5,-2.17,1.0,0.17,0.17,-2.5,-2.45,0.4,6.42,13.44,26.16,99.7,0.41,0.41,2.66,13.5,0.41,2.32,2.32,15.17,0.71,4.31,1.41,0.41,0.41,15.96,1.48,1.95,4.23,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,6.0,50.0,0.0,66.0,0.0,0.0,0.0,,,3.34,9.25,0.25,0.12,5.62,0.12,0.0,0.12,-1.5,0.12,3.75,5.38,38.75,0.38,52.88,0.0,0.12,0.12,-1.32,-1.8,1.34,9.73,0,CAROLINA PANTHERS,6679.0,2023_18_TB_CAR,REG,2024-01-07 00:00:00+00:00,Sunday,13:00,TB,,CAR,,Home,,,,2022121702.0,,,202212170car,,401547640.0,,6.0,6.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Todd Bowles,Frank Reich,,CAR00,Bank of America Stadium,,9.26955004976783,8.179179664967181,9.389950656558971,8.982287895286293,9.0,4.2,13.8
8,8,00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/owppysuai4ipxu5d27nu",HOU,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,4,58.0,0,0.0,0.0,30.0,28.0,3.0,3.8179543,0,1.9333333,0.12903225,0.19607843,0.33080328,0.0,5.8,9.8,TEN,Saturday,0,HOU2023,R.Woods2023,IND2023,2.0,3.0,39.0,0.17,0.17,2.0,7.0,0.5,1.0,3.0,11.5,0.5,23.5,1.0,0.17,0.17,-2.5,-0.04,-1.26,2.15,13.44,26.16,99.7,0.41,0.41,4.95,22.63,0.71,0.89,1.41,4.95,0.71,6.36,1.41,0.41,0.41,15.96,1.13,0.56,0.49,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,5.25,47.0,0.25,43.5,0.0,0.0,0.0,,-0.19,4.28,10.45,0.12,0.12,3.62,0.0,0.0,0.12,0.5,0.12,2.5,3.62,32.25,0.12,46.0,0.0,0.0,0.12,-0.51,0.25,1.18,6.48,0,HOUSTON TEXANS,6683.0,2023_18_HOU_IND,REG,2024-01-07 00:00:00+00:00,,13:00,HOU,,IND,,Home,,,,2022121706.0,,,202212170clt,,401547644.0,,6.0,13.0,,,,,,,,,1.0,,fieldturf,,,,,,,DeMeco Ryans,Shane Steichen,,IND00,Lucas Oil Stadium,Sunday,9.766878453083088,8.346234899890746,9.23145404521893,11.086950527609975,9.6,4.8,14.4
9,9,00-0030506,T.Kelce,Travis Kelce,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryzr3vbragwe50vtj9af",KC,2023,18,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,16.0,0,0.0,0.0,14.0,5.0,1.0,-0.82474357,0,1.1428572,0.14285715,0.089171976,0.2767061,0.0,1.6,4.6,CIN,Sunday,0,KC2023,T.Kelce2023,LAC2023,2.0,3.0,39.0,0.17,0.17,5.0,19.5,0.17,2.33,3.0,18.5,0.5,-5.17,1.0,0.17,0.17,-2.5,0.18,0.44,6.13,13.44,26.16,99.7,0.41,0.41,2.19,12.28,0.41,1.37,1.67,12.53,0.71,5.85,1.41,0.41,0.41,15.96,0.81,1.58,3.54,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.5,90.25,1.0,65.75,0.0,0.0,0.0,,,5.47,21.53,0.0,0.0,0.0,0.0,0.0,0.12,0.75,0.0,1.88,2.75,19.62,0.25,16.5,0.0,0.0,0.12,,-0.3,1.42,5.34,0,KANSAS CITY CHIEFS,6684.0,2023_18_KC_LAC,REG,2024-01-07 00:00:00+00:00,,13:00,KC,,LAC,,Home,,,,2022121707.0,,,202212170sdg,,401547645.0,,6.0,6.0,,,,,,,,,1.0,dome,matrixturf,,,,,,,Andy Reid,Brandon Staley,,LAX01,SoFi Stadium,Sunday,18.06845228133487,10.21842821938663,20.945743746930184,20.506475069758515,17.4,12.6,22.2
