,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omrddf2phtyztzx2nup1",PHI,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,13.0,0,0.0,0.0,53.0,4.0,0.0,-2.1839364,0,0.24528302,0.121212125,0.16109422,0.29458413,0.0,1.3,3.3,NYG,Monday,0,PHI2023,J.Jones2023,TB2023,25.67,35.67,310.33,1.67,1.0,4.0,15.67,0.33,0.17,0.17,-1.33,0.33,-1.33,0.33,0.17,0.17,5.86,0.88,-1.79,19.98,8.14,12.22,20.01,1.15,0.5,1.0,2.08,0.58,0.41,0.41,3.27,0.58,3.27,0.58,0.41,0.41,6.78,0.89,0.56,4.59,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,10.0,74.25,0.25,114.75,0.0,0.0,0.0,,0.97,3.96,14.67,0.25,0.12,5.62,0.12,0.0,0.12,-1.5,0.12,2.75,4.25,21.25,0.25,45.62,0.0,0.12,0.12,-1.32,-0.58,0.06,4.88,1,PHILADELPHIA EAGLES,6698.0,2023_19_PHI_TB,WC,2024-01-15 00:00:00+00:00,,20:00,PHI,,TB,,Home,,,,2024011501.0,,,202401150tam,,401547754.0,,8.0,8.0,-162.0,136.0,-3.0,-112.0,-108.0,43.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036389,00-0034855,Jalen Hurts,Baker Mayfield,Nick Sirianni,Todd Bowles,,TAM00,Raymond James Stadium,Monday,12.710091427029797,9.018770072771272,20.41300341289007,14.289554459496165,14.1,10.7,17.5
1,1,00-0027948,B.Gabbert,Blaine Gabbert,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fphhd3wedamgkps6e0dl",KC,2023,19,REG,15,30,154.0,0,1.0,1.0,9.0,0,0,167.0,109.0,6.0,-9.437242,0,0.9221557,-0.07365866,5,46.0,0,0.0,0.0,2.0,1.8702776,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.76,8.76,LAC,Saturday,1,KC2023,B.Gabbert2023,MIA2023,24.8,36.8,308.4,2.4,0.6,5.0,24.2,0.4,0.17,0.17,-1.33,0.33,-1.33,0.2,0.17,0.17,7.75,0.69,-1.79,25.16,6.38,9.34,32.68,1.34,0.55,2.35,23.65,0.55,0.41,0.41,3.27,0.58,3.27,0.45,0.41,0.41,6.16,1.88,0.56,8.73,MIA,9.67,18.33,104.0,0.0,0.67,2.67,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.15,-1.92,,4.33,12.88,23.75,145.75,0.38,0.75,3.88,18.62,0.5,0.12,0.12,-2.0,0.0,-0.5,0.25,0.25,0.0,-5.08,-0.37,-2.01,10.19,1,KANSAS CITY CHIEFS,6694.0,2023_19_MIA_KC,WC,2024-01-13 00:00:00+00:00,Saturday,20:00,MIA,,KC,,Home,,,,2024011302.0,,,202401130kan,,401547750.0,,6.0,6.0,190.0,-230.0,5.0,-112.0,-108.0,44.0,-112.0,-108.0,0.0,outdoors,grass,,,00-0036212,00-0033873,Tua Tagovailoa,Patrick Mahomes,Mike McDaniel,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,,4.3463337886271445,9.31947860726258,2.2808175292932096,3.2369431335542505,4.8,1.4,8.2
9,9,00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wy6qidqm8jjp6buvu3lp",DAL,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.21202067,0,6,8,39.0,1,0.0,0.0,79.0,1.0,5.0,3.6948159,0,0.49367088,0.2,0.37089202,0.55962443,0.0,10.2,16.2,WAS,Sunday,1,DAL2023,B.Cooks2023,GB2023,2.0,3.0,39.0,0.17,0.17,13.0,43.5,0.25,1.75,1.75,21.0,0.5,-1.2,1.0,0.5,0.17,-2.5,-3.19,1.49,8.7,13.44,26.16,99.7,0.41,0.41,6.88,25.98,0.5,1.26,1.26,21.56,0.71,3.56,1.41,0.58,0.41,15.96,3.99,1.78,4.61,GB,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.33,8.33,57.67,0.33,102.67,0.0,0.0,0.0,,-0.16,2.18,13.5,0.12,0.12,9.38,0.12,0.0,0.5,4.75,0.12,3.25,4.62,43.62,0.5,55.62,0.0,0.0,0.12,5.07,0.79,3.58,11.84,1,DALLAS COWBOYS,6696.0,2023_19_GB_DAL,WC,2024-01-14 00:00:00+00:00,Sunday,16:30,GB,,DAL,,Home,,,,2024011402.0,,,202401140dal,,401547752.0,,7.0,7.0,270.0,-340.0,7.0,-108.0,-112.0,50.5,-108.0,-112.0,0.0,closed,matrixturf,,,00-0036264,00-0033077,Jordan Love,Dak Prescott,Matt LaFleur,Mike McCarthy,,DAL00,AT&T Stadium,,13.65304923013026,8.831803799745368,20.459854115813755,13.632197770047846,14.1,10.7,17.5
15,15,00-0031408,M.Evans,Mike Evans,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w6eq27k2xs8vawwgkzbl",TB,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,8,22.0,0,0.0,0.0,117.0,7.0,1.0,-4.0774813,0,0.18803419,0.2580645,0.48547718,0.7269308,0.0,2.2,5.2,CAR,Monday,1,TB2023,M.Evans2023,PHI2023,0.33,0.33,6.0,0.17,0.17,0.5,3.33,0.17,3.17,5.33,39.83,0.17,66.0,0.17,0.17,0.17,1.17,0.07,1.11,8.48,0.58,0.58,10.39,0.41,0.41,0.55,10.15,0.41,1.47,2.58,15.41,0.41,29.1,0.41,0.41,0.41,0.34,1.51,4.12,2.41,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,8.0,56.5,0.5,105.25,0.0,0.0,0.0,,,1.89,13.4,0.12,0.12,0.12,0.12,0.0,0.12,3.0,0.12,2.5,4.62,30.25,0.12,51.5,0.0,0.12,0.12,-1.36,2.49,-0.68,8.07,0,TAMPA BAY BUCCANEERS,6698.0,2023_19_PHI_TB,WC,2024-01-15 00:00:00+00:00,Monday,20:00,PHI,,TB,,Home,,,,2024011501.0,,,202401150tam,,401547754.0,,8.0,8.0,-162.0,136.0,-3.0,-112.0,-108.0,43.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036389,00-0034855,Jalen Hurts,Baker Mayfield,Nick Sirianni,Todd Bowles,,TAM00,Raymond James Stadium,,13.23827146053872,8.796831735316736,20.459854115813755,13.018578917463987,13.9,10.5,17.3
16,16,00-0031428,A.Robinson,Allen Robinson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tucplhxtb3c626iekuzv",PIT,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,13.0,0.0,0.0,-1.727179,0,0.0,0.05,0.18055555,0.2013889,0.0,0.0,0.0,BAL,Sunday,0,PIT2023,A.Robinson2023,BUF2023,0.33,0.33,6.0,0.17,0.17,0.67,2.17,0.17,1.17,2.67,7.17,0.17,36.67,0.17,0.17,0.17,1.17,-0.99,-1.72,2.1,0.58,0.58,10.39,0.41,0.41,0.82,9.77,0.41,0.41,2.25,13.29,0.41,58.85,0.41,0.41,0.41,0.34,1.78,1.89,1.73,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,12.0,0.0,32.67,0.0,0.0,0.0,,,-2.06,2.2,0.12,0.12,0.38,0.12,0.0,0.25,1.0,0.12,1.38,2.88,14.88,0.12,29.12,0.0,0.0,0.12,-1.35,-0.05,-0.65,3.71,0,PITTSBURGH STEELERS,6695.0,2023_19_PIT_BUF,WC,2024-01-14 00:00:00+00:00,,13:00,PIT,,BUF,,Home,,,,2024011401.0,,,202401140buf,,401547751.0,,8.0,7.0,370.0,-485.0,9.0,-105.0,-115.0,33.5,-112.0,-108.0,0.0,outdoors,a_turf,,,00-0034771,00-0034857,Mason Rudolph,Josh Allen,Mike Tomlin,Sean McDermott,,BUF00,New Era Field,Sunday,2.1712319310251846,7.16441629340654,2.254998341500313,2.1133448975208418,3.4,-0.0,6.8
20,20,00-0031588,S.Diggs,Stefon Diggs,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zf6nbnzcfzu4y7yq2nzk",BUF,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,8,87.0,0,0.0,0.0,107.0,25.0,3.0,4.628669,0,0.8130841,0.21621622,0.29805014,0.5329594,0.0,8.7,15.7,MIA,Sunday,1,BUF2023,S.Diggs2023,PIT2023,25.5,37.67,296.17,1.83,1.17,9.5,34.67,0.67,1.0,4.0,-2.0,0.25,32.0,0.17,0.17,0.17,6.56,2.21,-7.38,23.65,2.51,4.46,20.06,1.17,1.17,3.62,22.8,0.52,0.71,0.71,14.85,0.5,4.95,0.41,0.41,0.41,10.21,4.43,5.92,3.34,PIT,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,8.5,11.5,97.0,0.5,131.5,0.0,0.0,0.0,,-0.73,3.8,21.23,0.12,0.12,0.25,0.12,0.0,0.12,1.0,0.12,3.38,4.62,59.12,0.25,58.0,0.0,0.12,0.12,1.18,0.23,2.57,10.79,1,BUFFALO BILLS,6695.0,2023_19_PIT_BUF,WC,2024-01-14 00:00:00+00:00,Sunday,13:00,PIT,,BUF,,Home,,,,2024011401.0,,,202401140buf,,401547751.0,,8.0,7.0,370.0,-485.0,9.0,-105.0,-115.0,33.5,-112.0,-108.0,0.0,outdoors,a_turf,,,00-0034771,00-0034857,Mason Rudolph,Josh Allen,Mike Tomlin,Sean McDermott,,BUF00,New Era Field,,21.04019550791947,10.154995377610918,20.459854115813755,20.557302256920345,18.1,14.7,21.5
24,24,00-0032062,B.Bell,Blake Bell,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj",KC,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,3.0,0,0.0,0.0,12.0,4.0,0.0,-1.9959024,0,0.25,0.06896552,0.07017544,0.15257108,0.0,0.3,1.3,LAC,Saturday,1,KC2023,B.Bell2023,MIA2023,23.0,0.17,193.0,1.5,0.17,0.5,6.5,0.17,5.5,7.33,81.83,0.17,84.17,0.5,0.17,0.17,-1.52,2.2,3.66,14.33,9.9,0.41,86.97,2.12,0.41,1.22,15.92,0.41,1.52,1.75,48.23,0.41,61.95,0.71,0.41,0.41,12.31,0.87,5.18,6.37,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.0,0.0,18.33,0.0,0.0,0.0,,,-1.06,0.43,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.0,2.62,4.38,27.38,0.12,27.0,0.0,0.0,0.12,,-0.4,0.55,5.36,1,KANSAS CITY CHIEFS,6694.0,2023_19_MIA_KC,WC,2024-01-13 00:00:00+00:00,Saturday,20:00,MIA,,KC,,Home,,,,2024011302.0,,,202401130kan,,401547750.0,,6.0,6.0,190.0,-230.0,5.0,-112.0,-108.0,44.0,-112.0,-108.0,0.0,outdoors,grass,,,00-0036212,00-0033873,Tua Tagovailoa,Patrick Mahomes,Mike McDaniel,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,,0.4534511525413853,6.924064141190593,0.2084932520069599,0.5245064476068079,2.0,0.0,5.4
30,30,00-0032268,M.Mariota,Marcus Mariota,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpbdwpmpd9vht8hzqqq6",PHI,2023,19,REG,13,20,148.0,1,1.0,3.0,11.0,1,1,173.0,61.0,9.0,-4.7624526,0,0.85549134,0.05379628,6,46.0,0,0.0,0.0,5.0,4.2747207,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,10.52,10.52,NYG,Monday,0,PHI2023,M.Mariota2023,TB2023,23.0,0.17,193.0,1.5,0.17,1.0,9.0,0.17,3.33,7.83,38.67,0.5,98.67,0.5,0.17,0.17,-1.52,0.98,-1.03,10.2,9.9,0.41,86.97,2.12,0.41,0.5,7.78,0.41,3.01,3.37,37.53,0.84,58.67,0.71,0.41,0.41,12.31,1.37,3.58,11.59,TB,13.5,22.5,147.5,1.0,0.5,6.5,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-3.62,4.9,,14.25,19.25,30.88,203.12,0.75,0.88,2.62,13.12,0.25,0.12,0.12,0.88,0.12,0.5,0.38,0.12,0.0,-4.46,1.02,-0.64,11.94,1,PHILADELPHIA EAGLES,6698.0,2023_19_PHI_TB,WC,2024-01-15 00:00:00+00:00,,20:00,PHI,,TB,,Home,,,,2024011501.0,,,202401150tam,,401547754.0,,8.0,8.0,-162.0,136.0,-3.0,-112.0,-108.0,43.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036389,00-0034855,Jalen Hurts,Baker Mayfield,Nick Sirianni,Todd Bowles,,TAM00,Raymond James Stadium,Monday,13.856555838938524,12.502325049374566,16.674448692472996,13.259464137882128,14.1,10.7,17.5
35,35,00-0032436,J.Driskel,Jeff Driskel,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vs04xemcmwboamd8fpas",CLE,2023,19,REG,13,26,166.0,2,2.0,3.0,26.0,0,0,232.0,74.0,8.0,-10.957208,0,0.7155172,-0.030105235,7,33.0,0,0.0,0.0,4.0,0.47511247,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.94,13.94,CIN,Saturday,0,CLE2023,J.Driskel2023,HOU2023,23.0,0.17,193.0,1.5,0.17,17.33,62.67,0.33,2.0,2.5,25.33,0.17,20.17,0.5,0.17,0.17,-1.52,-3.48,0.54,12.8,9.9,0.41,86.97,2.12,0.41,7.55,44.4,0.52,1.26,1.05,22.87,0.41,19.74,0.71,0.41,0.41,12.31,6.6,1.94,7.89,HOU,13.0,26.0,166.0,2.0,2.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.96,0.48,,13.94,17.25,27.38,226.75,1.25,1.12,3.88,14.12,0.38,0.88,1.0,6.12,0.12,7.5,0.12,0.12,0.0,1.73,0.22,1.48,15.98,1,CLEVELAND BROWNS,6693.0,2023_19_CLE_HOU,WC,2024-01-13 00:00:00+00:00,,16:30,CLE,,HOU,,Home,,,,2024011301.0,,,202401130htx,,401547749.0,,6.0,7.0,-135.0,110.0,-2.0,-112.0,-108.0,44.5,-110.0,-110.0,0.0,closed,astroturf,,,00-0026158,00-0039163,Joe Flacco,C.J. Stroud,Kevin Stefanski,DeMeco Ryans,,HOU00,NRG Stadium,Saturday,14.084164856579925,12.891976472240966,15.43484516684596,13.288447072961244,13.9,10.5,17.3
36,36,00-0032464,K.Raymond,Kalif Raymond,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q2kahfn76dnnb1uxxorv",DET,2023,19,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,50.0,0,0.0,0.0,33.0,17.0,1.0,3.5981917,0,1.5151515,0.06451613,0.13253012,0.18954527,0.0,5.0,7.0,MIN,Sunday,1,DET2023,K.Raymond2023,LA2023,23.0,0.17,193.0,1.5,0.17,15.17,74.17,1.0,1.33,1.5,12.5,0.17,-0.67,0.5,0.17,0.17,-1.52,-0.12,1.25,15.67,9.9,0.41,86.97,2.12,0.41,5.49,37.43,1.26,1.03,1.05,15.68,0.41,5.65,0.71,0.41,0.41,12.31,3.51,1.36,10.64,LA,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,5.0,82.5,0.0,48.5,0.0,0.0,0.0,,-0.63,3.97,12.3,0.12,0.12,3.0,0.12,0.12,0.5,4.88,0.12,3.75,5.12,54.75,0.5,57.25,0.0,0.0,0.12,2.48,1.37,3.19,12.96,1,DETROIT LIONS,6697.0,2023_19_LA_DET,WC,2024-01-14 00:00:00+00:00,Sunday,20:00,LA,,DET,,Home,,,,2024011403.0,,,202401140det,,401547753.0,,7.0,7.0,136.0,-162.0,3.0,-110.0,-110.0,51.5,-108.0,-112.0,0.0,dome,,,,00-0026498,00-0033106,Matthew Stafford,Jared Goff,Sean McVay,Dan Campbell,,DET00,Ford Field,,12.16470248172356,8.626937792599408,20.41300341289007,11.215334585218118,13.1,9.7,16.5
