,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,0,0.0,0.0,-3.0,11.0,0.0,0.48346484,0,0.0,0.03125,-0.012396694,0.038197313,0.0,0.8,1.8,DEN,Sunday,0,CHI2023,M.Lewis2023,DEN2023,1.0,1.0,5.0,1.0,0.25,11.5,46.5,0.25,2.0,2.25,12.5,0.25,-0.5,0.25,0.25,0.25,1.15,-2.99,-0.13,8.9,0.71,0.71,3.54,0.71,0.5,3.11,14.34,0.5,1.15,1.5,15.29,0.5,6.14,0.5,0.5,0.5,4.75,6.59,1.93,3.33,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,-3.0,0.0,0.0,0.0,,,0.48,1.8,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.0,1.75,2.75,17.0,0.25,20.75,0.0,0.0,0.25,,-1.78,0.95,3.45,0,CHICAGO BEARS,6485.0,2023_05_CHI_WAS,REG,2023-10-05 00:00:00+00:00,,20:15,CHI,,WAS,,Home,,,,2023100500.0,,,202310050was,,401547457.0,,4.0,4.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Matt Eberflus,Ron Rivera,,WAS00,FedExField,Thursday,1.7845060792923608,1.7492091919896433,2.8321992850982944,1.7846698009436914,2.0,0.0,6.5
1,1,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,5,REG,27,40,319.0,1,1.0,2.0,16.0,0,0,297.0,114.0,16.0,11.3743515,0,1.074074,0.16942482,2,14.0,0,0.0,0.0,0.0,3.265997,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.16,16.16,IND,Sunday,1,LA2023,M.Stafford2023,IND2023,1.0,1.0,5.0,1.0,0.25,8.0,42.25,0.25,3.5,4.25,21.25,0.25,-2.5,0.25,1.0,0.25,1.15,-0.3,0.78,11.35,0.71,0.71,3.54,0.71,0.5,2.94,18.39,0.5,1.73,1.89,8.88,0.5,12.58,0.5,0.71,0.5,4.75,0.96,2.5,4.37,PHI,22.5,36.5,294.0,1.0,1.5,1.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.9,-1.52,13.81,25.75,41.5,307.25,0.75,1.25,2.5,12.25,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,4.64,1.56,-1.52,14.01,0,LOS ANGELES RAMS,6494.0,2023_05_PHI_LA,REG,2023-10-08 00:00:00+00:00,Sunday,16:05,PHI,,LA,,Home,,,,2023100808.0,,,202310080ram,,401547467.0,,7.0,7.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Nick Sirianni,Sean McVay,,LAX01,SoFi Stadium,,14.537717675779678,17.359001212517107,13.297313919818594,13.071604137891592,14.6,10.1,19.1
2,2,00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",NYJ,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,8.0,0,0.0,0.0,24.0,1.0,1.0,-1.6300821,0,0.33333334,0.102564104,0.082474224,0.21157812,0.0,0.8,2.8,KC,Sunday,0,NYJ2023,R.Cobb2023,KC2023,1.0,1.0,5.0,1.0,0.25,15.0,64.75,0.5,3.25,4.25,25.75,0.5,3.75,0.25,1.0,0.25,1.15,0.27,1.32,18.3,0.71,0.71,3.54,0.71,0.5,6.53,37.82,0.58,2.22,3.3,33.51,0.58,8.18,0.5,0.71,0.5,4.75,3.57,3.41,9.1,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,10.0,0.0,15.0,0.0,0.0,0.0,,,-0.59,2.5,0.25,0.25,0.5,0.25,0.0,0.25,0.75,0.25,2.75,5.0,26.75,0.25,35.25,0.0,0.0,0.25,-0.49,0.84,-0.72,5.43,0,NEW YORK JETS,6495.0,2023_05_NYJ_DEN,REG,2023-10-08 00:00:00+00:00,,16:25,NYJ,,DEN,,Home,,,,2023100809.0,,,202310080den,,401547461.0,,7.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Robert Saleh,Sean Payton,,DEN00,Empower Field at Mile High,Sunday,2.4050608757444296,4.380550656286,3.046592625225009,2.5655484348502218,3.1,0.0,7.6
3,3,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,5,REG,21,28,223.0,3,0.0,1.0,9.0,0,0,179.0,137.0,9.0,14.218062,0,1.24581,0.2830531,4,13.0,0,0.0,0.0,2.0,1.370572,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.22,22.22,CHI,Sunday,1,DEN2023,R.Wilson2023,CHI2023,1.0,1.0,5.0,1.0,0.25,11.75,51.0,0.25,4.0,5.5,19.0,0.25,-6.0,0.25,0.25,0.25,1.15,-1.58,-1.37,10.5,0.71,0.71,3.54,0.71,0.5,3.95,20.15,0.5,4.76,4.65,31.02,0.5,4.97,0.5,0.5,0.5,4.75,3.09,2.08,6.73,NYJ,22.0,33.0,264.5,2.0,0.5,2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,1.37,-0.38,18.23,22.25,33.0,253.5,2.25,0.5,2.75,17.5,0.5,0.25,0.25,0.25,0.0,-0.25,0.25,0.25,0.0,5.53,2.41,-0.38,19.39,0,DENVER BRONCOS,6495.0,2023_05_NYJ_DEN,REG,2023-10-08 00:00:00+00:00,Sunday,16:25,NYJ,,DEN,,Home,,,,2023100809.0,,,202310080den,,401547461.0,,7.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Robert Saleh,Sean Payton,,DEN00,Empower Field at Mile High,,19.025853225927538,18.8039856474888,19.435651293040664,18.846350539012917,19.0,14.5,23.5
4,4,00-0029293,M.Jones,Marvin Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",DET,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-0.42258295,0,0.0,0.037037037,0.04519774,0.08719397,0.0,0.0,0.0,GB,Thursday,1,DET2023,M.Jones2023,GB2023,1.0,1.0,5.0,1.0,0.25,12.5,48.0,0.25,3.0,4.5,9.5,0.25,-3.0,0.25,0.25,0.25,1.15,-1.75,-0.9,8.75,0.71,0.71,3.54,0.71,0.5,0.71,5.66,0.5,1.41,2.12,6.36,0.5,8.49,0.5,0.5,0.5,4.75,0.21,3.45,1.34,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,4.0,0.0,29.0,0.0,0.0,0.5,,-1.23,-3.31,0.4,0.25,0.25,18.75,0.25,0.0,0.25,1.0,0.25,3.5,5.0,39.75,0.5,51.5,0.0,0.25,0.25,5.07,-1.19,0.77,7.58,0,DETROIT LIONS,6488.0,2023_05_CAR_DET,REG,2023-10-08 00:00:00+00:00,Sunday,13:00,CAR,,DET,,Home,,,,2023100802.0,,,202310080det,,401547464.0,,7.0,10.0,,,,,,,,,0.0,dome,fieldturf,,,,,,,Frank Reich,Dan Campbell,,DET00,Ford Field,,0.3895732239607127,2.8193537032110143,0.539176801486548,0.5401610497508349,1.1,0.0,5.6
5,5,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2023,5,REG,12,19,139.0,2,2.0,2.0,9.0,0,0,167.0,47.0,9.0,-10.878063,0,0.83233535,0.042405088,1,0.0,0,1.0,0.0,0.0,-0.648092,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.56,9.56,CAR,Sunday,1,MIN2023,K.Cousins2023,CAR2023,1.0,1.0,5.0,1.0,0.25,0.5,8.5,0.25,1.5,3.0,34.5,0.25,71.0,0.25,0.25,0.25,1.15,1.48,0.07,5.8,0.71,0.71,3.54,0.71,0.5,0.71,12.02,0.5,2.12,2.83,48.79,0.5,77.78,0.5,0.5,0.5,4.75,0.02,5.64,8.2,KC,22.0,34.5,253.0,2.5,1.5,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.73,1.02,-2.38,17.62,27.0,39.25,303.5,2.75,1.0,1.25,4.25,0.25,0.25,0.25,-0.5,0.0,-1.5,0.5,0.25,0.0,2.09,-1.16,-2.38,20.06,0,MINNESOTA VIKINGS,6496.0,2023_05_KC_MIN,REG,2023-10-08 00:00:00+00:00,Sunday,16:25,KC,,MIN,,Home,,,,2023100810.0,,,202310080min,,401547462.0,,7.0,7.0,,,,,,,,,0.0,dome,sportturf,,,,,,,Andy Reid,Kevin O'Connell,,MIN01,U.S. Bank Stadium,,17.835125493648608,15.646527940470332,19.401687401446548,20.037945699216,18.2,13.7,22.7
6,6,00-0029692,B.Anger,Bryan Anger,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zv7j4fzg4qrz4hktx756",DAL,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,1,,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.0,2.0,NE,Sunday,0,DAL2023,B.Anger2023,NE2023,1.0,1.0,5.0,1.0,0.25,0.33,5.67,0.25,1.0,2.33,23.0,0.25,51.67,0.25,0.25,0.25,1.15,1.48,-0.23,3.87,0.71,0.71,3.54,0.71,0.5,0.58,9.81,0.5,1.73,2.31,39.84,0.5,64.39,0.5,0.5,0.5,4.75,0.02,4.02,6.7,SF,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,-3.93,,1.0,0.25,0.25,4.0,0.0,0.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,-1.98,,0.66,0,DALLAS COWBOYS,6497.0,2023_05_DAL_SF,REG,2023-10-08 00:00:00+00:00,,20:20,DAL,,SF,,Home,,,,2023100811.0,,,202310080sfo,,401547354.0,,7.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Mike McCarthy,Kyle Shanahan,,SFO01,Levi's Stadium,Sunday,1.0019794653893384,-0.4149789286488907,1.8086937460672052,0.9429881483579,0.8,0.0,5.3
7,7,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,5,REG,18,25,240.0,1,1.0,3.0,15.0,0,0,307.0,86.0,10.0,7.165728,0,0.78175896,0.20542732,6,11.0,0,1.0,0.0,0.0,-6.310667,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.7,12.7,CIN,Sunday,0,TEN2023,R.Tannehill2023,CIN2023,1.0,1.0,5.0,1.0,0.25,0.5,-1.25,0.25,1.0,2.0,8.25,0.25,40.25,0.25,0.25,0.25,1.15,-1.05,-1.45,1.7,0.71,0.71,3.54,0.71,0.5,0.58,1.5,0.5,1.15,1.15,10.53,0.5,21.16,0.5,0.5,0.5,4.75,0.02,1.08,2.02,IND,15.5,25.0,172.0,0.5,0.5,3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.43,-6.31,-1.12,8.43,16.75,27.0,197.0,0.5,1.0,2.5,7.0,0.25,0.25,0.25,-2.5,0.25,-2.5,0.25,0.25,0.0,-4.36,-2.14,-1.12,10.08,0,TENNESSEE TITANS,6489.0,2023_05_TEN_IND,REG,2023-10-08 00:00:00+00:00,,13:00,TEN,,IND,,Home,,,,2023100803.0,,,202310080clt,,401547458.0,,7.0,7.0,,,,,,,,,1.0,,fieldturf,,,,,,,Mike Vrabel,Shane Steichen,,IND00,Lucas Oil Stadium,Sunday,8.33419430095528,4.857600064716525,8.863731456956193,9.185796358068997,7.8,3.3,12.3
8,8,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,3.0,0,0.0,0.0,0.0,-0.5348255,0,1,1,4.0,0,0.0,0.0,4.0,0.0,0.0,-0.2839144,0,1.0,0.04761905,0.022099448,0.086898185,0.0,0.7,1.7,ARI,Sunday,1,SF2023,K.Juszczyk2023,ARI2023,1.0,1.0,5.0,1.0,0.25,0.5,-1.25,0.25,1.25,2.0,12.0,0.25,31.5,0.25,0.25,0.25,1.15,-1.05,-0.83,2.32,0.71,0.71,3.54,0.71,0.5,0.58,1.5,0.5,0.96,1.15,9.2,0.5,25.57,0.5,0.5,0.5,4.75,0.02,1.78,1.68,DAL,0.0,0.0,0.0,0.0,0.0,1.5,3.0,0.0,0.5,0.5,2.0,0.0,2.0,0.0,0.0,0.0,,-0.15,-0.28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.25,0.5,0.5,2.5,0.25,1.75,0.0,0.25,0.25,,0.17,-0.02,1.1,0,SAN FRANCISCO 49ERS,6497.0,2023_05_DAL_SF,REG,2023-10-08 00:00:00+00:00,Sunday,20:20,DAL,,SF,,Home,,,,2023100811.0,,,202310080sfo,,401547354.0,,7.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Mike McCarthy,Kyle Shanahan,,SFO01,Levi's Stadium,,1.0019794653893384,1.2645625241227538,2.024337661489375,0.9622224058208216,1.3,0.0,5.8
9,9,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,5,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,6.0,0,0.0,0.0,0.0,0.23642102,0,7,8,76.0,0,0.0,0.0,49.0,38.0,4.0,4.062293,0,1.5510204,0.2580645,0.49,0.73009676,0.0,8.2,15.2,MIN,Sunday,0,CAR2023,A.Thielen2023,MIN2023,1.0,1.0,5.0,1.0,0.25,2.0,20.0,0.25,1.0,2.0,19.0,0.33,20.0,0.25,0.25,0.25,1.15,1.1,1.28,4.9,0.71,0.71,3.54,0.71,0.5,1.41,14.14,0.5,0.71,0.71,13.44,0.58,7.07,0.5,0.5,0.5,4.75,2.13,1.12,3.46,DET,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,9.0,11.0,110.5,0.5,93.5,0.0,0.0,0.0,,0.24,8.6,23.35,0.0,0.25,0.0,0.0,0.0,0.75,3.25,0.25,4.0,5.75,33.0,0.25,38.5,0.0,0.25,0.25,-1.32,-0.13,0.6,7.62,0,CAROLINA PANTHERS,6488.0,2023_05_CAR_DET,REG,2023-10-08 00:00:00+00:00,,13:00,CAR,,DET,,Home,,,,2023100802.0,,,202310080det,,401547464.0,,7.0,10.0,,,,,,,,,0.0,dome,fieldturf,,,,,,,Frank Reich,Dan Campbell,,DET00,Ford Field,Sunday,21.636950129944683,20.117529687198285,19.701752617857203,22.68393658623484,21.0,16.5,25.5
