,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,8,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,16.0,0,0.0,0.0,5.0,11.0,1.0,1.4372238,0,3.2,0.035714287,0.08928572,0.116071425,0.0,1.6,2.6,LV,Sunday,0,CHI2023,M.Lewis2023,LV2023,0.25,0.25,4.75,0.25,2.0,10.5,41.0,0.33,0.67,1.0,5.0,0.25,-3.67,0.5,0.25,0.33,-0.75,-1.51,-0.07,4.1,0.5,0.5,9.5,0.5,0.71,10.61,48.08,0.58,1.15,1.73,8.66,0.5,6.35,1.0,0.5,0.58,1.43,0.26,0.42,4.81,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,,,0.96,2.2,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,2.25,2.5,19.5,0.25,10.25,0.0,0.0,0.25,,1.92,1.02,5.7,0,CHICAGO BEARS,6541.0,2023_08_CHI_LAC,REG,2023-10-29 00:00:00+00:00,,20:20,CHI,,LAC,,Home,,,,2023102913.0,,,202310290sdg,,401547510.0,,7.0,7.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Matt Eberflus,Brandon Staley,,LAX01,SoFi Stadium,Sunday,2.1391572934694687,6.890483250725563,3.376125357392184,2.196542259322924,3.7,0.0,7.7
1,1,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,8,REG,14,29,231.0,1,1.0,2.0,12.0,0,0,263.0,112.0,8.0,-3.5908406,1,0.878327,-0.055881225,1,8.0,0,0.0,0.0,1.0,1.7414379,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.04,14.04,PIT,Sunday,0,LA2023,M.Stafford2023,PIT2023,0.25,0.25,4.75,0.25,2.0,3.25,9.5,0.25,0.25,0.25,2.75,0.25,1.0,0.5,0.25,0.33,-0.75,-0.51,-0.28,1.47,0.5,0.5,9.5,0.5,0.71,1.5,6.95,0.5,0.5,0.5,5.5,0.5,2.0,1.0,0.5,0.58,1.43,1.11,0.89,1.58,DAL,14.5,26.5,228.5,1.0,0.5,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.64,-1.52,13.64,19.25,32.5,249.5,1.25,0.5,1.0,6.0,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,2.13,1.52,-1.52,15.08,0,LOS ANGELES RAMS,6529.0,2023_08_LA_DAL,REG,2023-10-29 00:00:00+00:00,,13:00,LA,,DAL,,Home,,,,2023102901.0,,,202310290dal,,401547505.0,,7.0,13.0,,,,,,,,,0.0,,matrixturf,,,,,,,Sean McVay,Mike McCarthy,,DAL00,AT&T Stadium,Sunday,14.055101350315637,13.039662186480076,17.40021405328411,13.449304265512009,14.5,10.5,18.5
2,2,00-0026625,B.Hoyer,Brian Hoyer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/japt3mj2xctm7saqndxn",LV,2023,8,REG,17,32,129.0,0,2.0,1.0,8.0,0,0,216.0,56.0,10.0,-13.533031,0,0.5972222,-0.049867738,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.16,1.16,CHI,Sunday,0,LV2023,B.Hoyer2023,CHI2023,0.25,0.25,4.75,0.25,2.0,2.25,7.0,0.25,1.0,1.25,11.25,0.25,6.0,0.5,0.25,0.33,-0.75,-0.25,0.35,2.83,0.5,0.5,9.5,0.5,0.71,2.06,7.07,0.5,1.41,1.89,16.03,0.5,9.52,1.0,0.5,0.58,1.43,1.26,0.89,2.81,DET,11.5,21.0,115.5,0.0,1.0,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.39,-1.82,,2.47,14.75,23.75,150.25,0.5,1.0,2.25,1.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.09,-0.85,,6.14,0,LAS VEGAS RAIDERS,6542.0,2023_08_LV_DET,REG,2023-10-30 00:00:00+00:00,,20:15,LV,,DET,,Home,,,,2023103000.0,,,202310300det,,401547511.0,,8.0,8.0,,,,,,,,,0.0,dome,fieldturf,,,,,,,Josh McDaniels,Dan Campbell,,DET00,Ford Field,Monday,2.469907963289249,8.689614016657975,2.2824765009159167,3.0886288270084434,4.1,0.1,8.1
3,3,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr7o7ow6cdb3ata0errd",PHI,2023,8,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,3.0,0,0.0,0.0,2.0,1.0,0.0,-0.15366477,0,1.5,0.033333335,0.009090909,0.056363635,0.0,0.3,1.3,MIA,Sunday,0,PHI2023,J.Jones2023,MIA2023,0.25,0.25,4.75,0.25,2.0,2.0,10.25,0.25,1.0,1.25,10.25,0.25,4.5,0.5,0.25,0.33,-0.75,0.8,0.35,4.55,0.5,0.5,9.5,0.5,0.71,1.63,8.62,0.5,1.41,1.89,16.17,0.5,10.38,1.0,0.5,0.58,1.43,1.62,0.9,4.33,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,,,-0.15,1.3,0.25,0.25,0.5,0.0,0.0,0.5,1.0,0.25,3.5,5.75,45.75,0.5,80.0,0.0,0.0,0.25,-0.55,-0.96,1.03,8.07,0,PHILADELPHIA EAGLES,6536.0,2023_08_PHI_WAS,REG,2023-10-29 00:00:00+00:00,,13:00,PHI,,WAS,,Home,,,,2023102908.0,,,202310290was,,401547508.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Nick Sirianni,Ron Rivera,,WAS00,FedExField,Sunday,1.323023596111007,6.750860841518936,2.079890824046797,1.339445106374079,2.9,0.0,6.9
4,4,00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",NYJ,2023,8,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,3,0.0,0,0.0,0.0,22.0,0.0,0.0,-1.4353702,1,0.0,0.09090909,0.08494209,0.1958231,0.0,2.0,2.0,PHI,Sunday,0,NYJ2023,R.Cobb2023,PHI2023,0.25,0.25,4.75,0.25,2.0,10.5,64.5,0.25,0.25,0.5,6.25,0.25,-1.0,0.5,0.25,0.33,-0.75,-0.28,2.54,10.32,0.5,0.5,9.5,0.5,0.71,4.36,31.67,0.5,0.5,1.0,12.5,0.5,2.0,1.0,0.5,0.58,1.43,1.31,1.24,6.66,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.5,0.0,0.0,0.0,,,-1.04,1.0,0.25,0.25,0.5,0.25,0.0,0.5,3.25,0.25,1.5,3.75,21.75,0.25,43.25,0.0,0.0,0.25,-0.49,0.06,-0.38,4.17,0,NEW YORK JETS,6533.0,2023_08_NYJ_NYG,REG,2023-10-29 00:00:00+00:00,,13:00,NYJ,,NYG,,Home,,,,2023102905.0,,,202310290nyg,,401547498.0,,14.0,7.0,,,,,,,,,0.0,outdoors,fieldturf,,,,,,,Robert Saleh,Brian Daboll,,NYC01,MetLife Stadium,Sunday,0.9979503466188324,6.7202737813195785,1.9697318397964865,1.0781952824885848,2.7,0.0,6.7
5,5,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",NYG,2023,8,REG,18,29,279.0,2,0.0,4.0,29.0,0,0,318.0,114.0,10.0,4.9307346,0,0.8773585,0.09306225,8,25.0,0,0.0,0.0,2.0,0.11368017,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.66,21.66,WAS,Sunday,1,NYG2023,T.Taylor2023,WAS2023,0.25,0.25,4.75,0.25,2.0,9.0,27.0,0.25,3.0,5.0,37.0,0.25,-1.0,0.5,0.25,0.33,-0.75,-2.51,2.38,11.4,0.5,0.5,9.5,0.5,0.71,1.41,5.66,0.5,1.41,1.41,9.9,0.5,6.36,1.0,0.5,0.58,1.43,4.16,6.0,3.25,NYJ,21.0,32.5,239.5,1.0,0.0,6.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,-0.08,,16.03,16.25,24.25,171.0,0.5,0.5,5.0,21.75,0.25,0.25,0.25,4.0,0.0,3.25,0.25,0.25,0.0,0.16,0.81,0.98,11.01,0,NEY YORK GIANTS,6533.0,2023_08_NYJ_NYG,REG,2023-10-29 00:00:00+00:00,Sunday,13:00,NYJ,,NYG,,Home,,,,2023102905.0,,,202310290nyg,,401547498.0,,14.0,7.0,,,,,,,,,0.0,outdoors,fieldturf,,,,,,,Robert Saleh,Brian Daboll,,NYC01,MetLife Stadium,,16.62325263901941,13.67533135310506,19.47742661001967,15.530742154686504,16.3,12.3,20.3
6,6,00-0028872,J.Hekker,Johnny Hekker,P,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rh1qt7cwusun5o56bwyh",CAR,2023,8,REG,1,1,7.0,0,0.0,0.0,-0.0,0,0,-4.0,11.0,0.0,-1.9410884,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.28,0.28,MIA,Sunday,1,CAR2023,J.Hekker2023,MIA2023,0.25,0.25,4.75,0.25,2.0,8.0,31.0,0.25,2.0,4.0,30.0,0.25,-5.5,0.5,0.25,0.33,-0.75,0.44,-1.86,9.1,0.5,0.5,9.5,0.5,0.71,1.41,5.66,0.5,1.41,1.41,9.9,0.5,6.36,1.0,0.5,0.58,1.43,4.16,6.0,3.25,HOU,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,,,0.28,0.75,0.75,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,,,0.47,0,CAROLINA PANTHERS,6528.0,2023_08_HOU_CAR,REG,2023-10-29 00:00:00+00:00,Sunday,13:00,HOU,,CAR,,Home,,,,2023102900.0,,,202310290car,,401547504.0,,14.0,14.0,,,,,,,,,0.0,outdoors,grass,,,,,,,DeMeco Ryans,Frank Reich,,CAR00,Bank of America Stadium,,0.2551662324316551,6.666373917752967,0.5442677222488019,0.3432896508863222,2.0,0.0,6.0
7,7,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,8,REG,20,29,194.0,1,0.0,1.0,-0.0,0,0,227.0,88.0,9.0,4.0957136,0,0.8546255,0.21114026,1,21.0,0,0.0,0.0,1.0,0.93987733,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.86,13.86,GB,Sunday,1,DEN2023,R.Wilson2023,GB2023,0.25,0.25,4.75,0.25,2.0,0.33,0.33,0.25,2.0,2.0,11.0,1.0,11.0,0.5,0.25,0.25,-0.75,-0.55,-0.34,3.1,0.5,0.5,9.5,0.5,0.71,0.58,0.58,0.5,2.83,0.71,38.89,0.71,79.2,1.0,0.5,0.5,1.43,0.11,6.18,10.96,KC,16.5,25.5,144.5,1.0,1.0,2.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1,2.31,-0.38,10.38,18.5,27.5,177.0,1.75,0.5,4.0,28.5,0.5,0.25,0.25,0.25,0.0,-0.25,0.25,0.25,0.0,-2.6,2.2,-0.38,15.43,0,DENVER BRONCOS,6539.0,2023_08_KC_DEN,REG,2023-10-29 00:00:00+00:00,Sunday,16:25,KC,,DEN,,Home,,,,2023102911.0,,,202310290den,,401547502.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Andy Reid,Sean Payton,,DEN00,Empower Field at Mile High,,11.152110118972534,11.574791017195237,12.17108457080357,9.894411741939876,11.2,7.2,15.2
8,8,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2023,8,REG,35,45,378.0,2,1.0,0.0,-0.0,0,0,249.0,175.0,18.0,12.857419,0,1.5180722,0.22601633,2,-1.0,0,0.0,0.0,0.0,-0.20638342,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.02,21.02,SF,Monday,0,MIN2023,K.Cousins2023,SF2023,0.25,0.25,4.75,0.25,2.0,0.33,0.33,0.25,3.5,5.25,64.5,0.75,84.0,0.5,0.25,0.25,-0.75,-0.55,5.42,14.45,0.5,0.5,9.5,0.5,0.71,0.58,0.58,0.5,1.73,1.5,41.3,0.96,20.51,1.0,0.5,0.5,1.43,0.11,3.7,9.91,GB,28.0,38.0,279.5,1.5,0.5,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.34,0.95,-2.38,14.88,24.25,35.5,245.5,1.75,0.75,2.0,-0.25,0.25,0.25,0.25,-0.5,0.0,-1.5,0.25,0.25,0.0,-0.41,0.68,-2.38,14.8,0,MINNESOTA VIKINGS,6530.0,2023_08_MIN_GB,REG,2023-10-29 00:00:00+00:00,,13:00,MIN,,GB,,Home,,,,2023102902.0,,,202310290gnb,,401547506.0,,6.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Kevin O'Connell,Matt LaFleur,,GNB00,Lambeau Field,Sunday,15.185323217728005,15.10559543160675,16.008585090984415,15.868603396183277,15.5,11.5,19.5
9,9,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,8,REG,8,16,76.0,0,1.0,2.0,16.0,0,0,131.0,49.0,3.0,-10.508054,0,0.5801527,-0.00412251,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.04,1.04,BAL,Sunday,1,TEN2023,R.Tannehill2023,BAL2023,0.25,0.25,4.75,0.25,2.0,0.33,0.33,0.25,3.75,7.0,58.75,0.25,92.5,0.5,0.25,0.25,-0.75,-0.55,0.61,11.62,0.5,0.5,9.5,0.5,0.71,0.58,0.58,0.5,0.96,2.94,16.24,0.5,20.76,1.0,0.5,0.5,1.43,0.11,6.62,5.34,ATL,15.5,25.0,170.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,0.79,-1.12,5.4,15.5,25.0,171.0,0.25,0.75,2.0,5.75,0.25,0.25,0.25,-2.5,0.25,-2.5,0.25,0.25,0.0,-2.01,-2.76,-1.12,6.91,0,TENNESSEE TITANS,6535.0,2023_08_ATL_TEN,REG,2023-10-29 00:00:00+00:00,Sunday,13:00,ATL,,TEN,,Home,,,,2023102907.0,,,202310290oti,,401547500.0,,7.0,14.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Arthur Smith,Mike Vrabel,,NAS00,Nissan Stadium,,5.423576085944944,9.729019587616335,2.9415671804732546,4.891182470489168,5.7,1.7,9.7
